 #   Flux in [erg/s/Hz/ster] pro g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_DD    emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  1.18E+01  7.02E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.38E-19  2.77E-18  4.01E-18  6.74E-18
  1.17E+01  7.51E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.35E-19  2.83E-18  4.44E-18  6.68E-18
  1.16E+01  8.82E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.34E-19  2.88E-18  5.71E-18  6.63E-18
  1.15E+01  1.16E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.21E-19  2.92E-18  8.31E-18  6.57E-18
  1.14E+01  1.57E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.33E-19  2.97E-18  1.25E-17  6.51E-18
  1.13E+01  1.85E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.28E-19  3.03E-18  1.52E-17  6.45E-18
  1.12E+01  1.55E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.25E-19  3.09E-18  1.22E-17  6.40E-18
  1.11E+01  1.11E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.22E-19  3.15E-18  7.75E-18  6.34E-18
  1.09E+01  6.71E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.16E-19  3.28E-18  3.22E-18  6.23E-18
  1.05E+01  4.92E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.06E-19  3.64E-18  1.07E-18  6.00E-18
  1.00E+01  4.52E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.94E-19  3.78E-18  5.42E-19  5.71E-18
  9.80E+00  4.47E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.89E-19  3.81E-18  4.71E-19  5.60E-18
  9.60E+00  4.43E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.85E-19  3.81E-18  4.35E-19  5.48E-18
  9.50E+00  4.38E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.83E-19  3.77E-18  4.28E-19  5.43E-18
  9.40E+00  4.29E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.80E-19  3.68E-18  4.29E-19  5.37E-18
  9.20E+00  3.91E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.76E-19  3.28E-18  4.54E-19  5.25E-18
  8.90E+00  3.25E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.69E-19  2.43E-18  6.47E-19  5.08E-18
  8.70E+00  3.51E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.65E-19  1.94E-18  1.41E-18  4.97E-18
  8.60E+00  4.01E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.63E-19  1.74E-18  2.11E-18  4.91E-18
  8.50E+00  3.24E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.61E-19  1.57E-18  1.50E-18  4.85E-18
  8.40E+00  2.64E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.59E-19  1.40E-18  1.08E-18  4.80E-18
  8.20E+00  2.28E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.54E-19  1.04E-18  1.09E-18  4.68E-18
  8.00E+00  2.39E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.50E-19  6.77E-19  1.57E-18  4.57E-18
  7.90E+00  2.64E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.47E-19  5.56E-19  1.94E-18  4.51E-18
  7.80E+00  2.89E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.45E-19  4.43E-19  2.30E-18  4.45E-18
  7.70E+00  2.95E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.43E-19  3.56E-19  2.45E-18  4.40E-18
  7.60E+00  2.70E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.40E-19  2.95E-19  2.27E-18  4.34E-18
  7.50E+00  2.25E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.38E-19  2.42E-19  1.87E-18  4.28E-18
  7.30E+00  1.48E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.33E-19  1.94E-19  1.15E-18  4.10E-18
  7.20E+00  1.27E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.30E-19  1.83E-19  9.59E-19  3.98E-18
  7.10E+00  1.23E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.28E-19  1.74E-19  9.32E-19  3.86E-18
  7.00E+00  1.57E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.26E-19  1.68E-19  1.27E-18  3.75E-18
  6.90E+00  1.04E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.23E-19  1.63E-19  7.51E-19  3.63E-18
  6.80E+00  8.64E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.21E-19  1.59E-19  5.84E-19  3.52E-18
  6.60E+00  8.17E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.16E-19  1.52E-19  5.49E-19  3.31E-18
  6.40E+00  1.06E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.10E-19  1.44E-19  8.05E-19  3.11E-18
  6.30E+00  1.48E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.06E-19  1.41E-19  1.23E-18  3.01E-18
  6.20E+00  1.89E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.05E-19  1.37E-19  1.65E-18  2.92E-18
  6.10E+00  1.42E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.03E-19  1.32E-19  1.18E-18  2.82E-18
  5.90E+00  7.52E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.74E-20  1.24E-19  5.30E-19  2.64E-18
  5.50E+00  6.20E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.67E-20  1.11E-19  4.23E-19  2.31E-18
  5.30E+00  8.19E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.14E-20  1.05E-19  6.32E-19  2.15E-18
  5.20E+00  1.15E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.87E-20  1.03E-19  9.64E-19  2.08E-18
  5.10E+00  1.47E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.60E-20  1.01E-19  1.29E-18  2.01E-18
  5.00E+00  1.09E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.32E-20  9.86E-20  9.19E-19  1.94E-18
  4.80E+00  5.87E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.77E-20  9.49E-20  4.24E-19  1.80E-18
  4.50E+00  4.58E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.95E-20  9.01E-20  3.08E-19  1.61E-18
  4.00E+00  4.17E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.65E-20  8.22E-20  2.88E-19  1.78E-18
  3.80E+00  4.14E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.15E-20  7.86E-20  2.93E-19  1.84E-18
  3.60E+00  4.29E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.67E-20  7.47E-20  3.18E-19  1.91E-18
  3.40E+00  6.49E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.22E-20  7.03E-20  5.46E-19  1.96E-18
  3.30E+00  1.39E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.00E-20  6.78E-20  1.29E-18  1.99E-18
  3.20E+00  5.85E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.78E-20  6.51E-20  4.92E-19  2.02E-18
  3.15E+00  4.61E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.68E-20  6.37E-20  3.70E-19  2.03E-18
  3.10E+00  4.07E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.57E-20  6.23E-20  3.19E-19  2.04E-18
  3.08E+00  3.93E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.53E-20  6.17E-20  3.06E-19  2.05E-18
  3.05E+00  3.77E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.47E-20  6.09E-20  2.92E-19  2.05E-18
  3.00E+00  3.59E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.37E-20  5.95E-20  2.76E-19  2.07E-18
  2.90E+00  3.35E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.17E-20  5.66E-20  2.57E-19  2.09E-18
  2.80E+00  3.18E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.98E-20  5.35E-20  2.45E-19  2.10E-18
  2.60E+00  2.88E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.61E-20  4.70E-20  2.24E-19  2.25E-18
  2.50E+00  2.72E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.44E-20  4.36E-20  2.14E-19  2.38E-18
  2.20E+00  2.22E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.65E-21  3.29E-20  1.79E-19  2.81E-18
  2.16E+00  2.15E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.06E-21  3.14E-20  1.74E-19  2.87E-18
  2.00E+00  1.85E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.92E-21  2.56E-20  1.53E-19  3.10E-18
  1.66E+00  1.20E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.29E-21  1.39E-20  1.03E-19  3.58E-18
  1.65E+00  1.18E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.18E-21  1.36E-20  1.01E-19  3.59E-18
  1.25E+00  4.81E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.55E-22  3.77E-21  4.36E-20  3.44E-18
  1.23E+00  4.59E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.02E-22  3.52E-21  4.17E-20  3.42E-18
  1.13E+00  3.18E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.99E-22  2.08E-21  2.93E-20  3.31E-18
  1.00E+00  1.78E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.67E-22  9.10E-22  1.67E-20  3.14E-18
  9.50E-01  1.35E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.12E-22  6.18E-22  1.28E-20  3.03E-18
  9.30E-01  1.20E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.38E-23  5.22E-22  1.14E-20  2.99E-18
  9.20E-01  1.13E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.57E-23  4.79E-22  1.07E-20  2.97E-18
  9.10E-01  1.06E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.81E-23  4.38E-22  1.01E-20  2.94E-18
  9.00E-01  9.96E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.10E-23  4.00E-22  9.48E-21  2.92E-18
  8.90E-01  9.32E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.45E-23  3.64E-22  8.89E-21  2.90E-18
  8.80E-01  8.70E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.84E-23  3.31E-22  8.31E-21  2.87E-18
  8.70E-01  8.11E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.27E-23  3.00E-22  7.76E-21  2.85E-18
  8.60E-01  7.55E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.74E-23  2.71E-22  7.23E-21  2.83E-18
  8.50E-01  7.01E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.26E-23  2.44E-22  6.73E-21  2.80E-18
