 #   Polarised Flux in [erg/s/Hz/ster] pro g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  7.50E-01  1.39E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.40E-01  1.25E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.30E-01  1.13E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.14E-01  9.47E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.10E-01  9.05E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.00E-01  8.07E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.90E-01  7.16E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.80E-01  6.34E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.70E-01  5.58E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.60E-01  4.89E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.50E-01  4.27E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.40E-01  3.71E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.30E-01  3.20E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.25E-01  2.97E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.20E-01  2.75E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.10E-01  2.35E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.00E-01  2.00E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.90E-01  1.69E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.80E-01  1.42E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.70E-01  1.18E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.60E-01  9.79E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.50E-01  8.04E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.48E-01  1.13E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.40E-01  9.66E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.30E-01  7.85E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.20E-01  6.32E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.10E-01  5.05E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.00E-01  3.99E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.90E-01  3.13E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.88E-01  2.98E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.80E-01  2.42E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.76E-01  2.18E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.70E-01  1.86E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.65E-01  1.62E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.60E-01  1.41E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.55E-01  1.22E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.50E-01  1.05E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.44E-01  8.78E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.35E-01  6.63E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.17E-01  3.64E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.00E-01  1.97E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.85E-01  1.10E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.66E-01  4.79E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.57E-01  3.23E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.33E-01  9.76E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.13E-01  3.19E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.00E-01  1.45E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.94E-01  9.88E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.78E-01  3.38E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.63E-01  1.16E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.50E-01  4.27E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.38E-01  1.48E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.27E-01  3.90E-25  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.17E-01  6.78E-26  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.08E-01  9.88E-27  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.00E-01  1.53E-27  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.92E-01  2.13E-28  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.85E-01  3.51E-29  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.79E-01  7.01E-30  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.72E-01  9.78E-31  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.67E-01  2.24E-31  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.61E-01  3.53E-32  0.00E+00  0.00E+00  0.00E+00  0.00E+00
